CODIGOESTR;ESTRUCT;HORASFUNC1;HORASFUNC2;DIASFUNCME;SUBTIPO;SUBT;Luminaria.BAJOMEDICION;Luminaria.POTENCIA;POTENCIA_2;ALIMENTA_5;ALIM;SUBTIPO_1;TRAF;VOLTAJE;POTENCIA TRAFO;TRAFO;KWH;;;;;;;;
APO0374;LDOS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T13;Guanujo Central;1;Transformador Monofásico en poste;7.97 kV;10;0303303;36;;;;;;;;
APO0309;LCPS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.62 kV;25;0303434;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;150;0;03GN020T15;Guanujo - Simiatug;1;Transformador Monofásico en poste;7.97 kV;5;0303630;54;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;250;0;03CO040T11;Cochabamba - San Miguel;1;Transformador Monofásico en poste;7.97 kV;37.5;0303486;90;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T15;Guanujo - Simiatug;1;Transformador Monofásico en poste;7.97 kV;50;0303480;36;;;;;;;;
APO0309;LCPS100ACC;12;0;100;4;Sodio Cerrada;0;150;0;03GR010T21;Guaranda - Chimbo;1;Transformador Monofásico en poste;7.62 kV;25;0303473;54;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;150;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;15;0304925;54;;;;;;;;
APO0504;PDPS250ACC;12;0;100;6;Proyector de Sodio;0;150;0;03EC030T11;Echeandía - Las Naves;1;Transformador Monofásico en poste;7.97 kV;10;0303296;54;;;;;;;;
APO0617;LDOS150ADC;6;6;100;4;Sodio Cerrada;0;150;105;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;15;0304928;46;;;;;;;;
APO0110;LDSM125ACA;12;0;100;2;Mercurio Abierta;0;150;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;15;0304934;54;;;;;;;;
APO0415;PDSM500ACC;12;0;100;7;Proyector de Mercurio;0;150;0;03SI060T11;Sicoto - Chillanes;5;Transformador Trifásico en poste;13.8 kV;10;0303296;54;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;150;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;37.5;0303510;54;;;;;;;;
APO0110;LDSM125ACA;12;0;100;2;Mercurio Abierta;0;150;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;37.5;0303510;54;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;150;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;37.5;0303510;54;;;;;;;;
